gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
NPC2,0.4289579521184798,3.8184598677622643e-23,22395.83154639175,16635.581325301206,1.3577189467119465e-20,True
FCGBP,-1.6759344468944097,4.105892343293638e-23,314.34212458762886,1004.4055954216866,1.4384510778571227e-20,True
TRIM28,-0.6208792621195355,4.347329827024988e-23,474.64936701030933,729.9215530120482,1.5009628763654533e-20,True
RPL36,-0.5468691112300118,4.6010180469762436e-23,8593.796628865979,12554.779168674699,1.5658578990445007e-20,True
USP11,-0.5945912137717905,5.763845404729517e-23,373.1303577319588,563.4435024096385,1.9339730855897363e-20,True
MSRB2,0.8589882470837287,6.685076409943218e-23,4305.378577319588,2373.723433734939,2.2119246571399622e-20,True
TTC3,-0.666405747960367,7.21129921117961e-23,2003.949306185567,3180.4959759036146,2.35335316586208e-20,True
CD5,-0.9296230651360523,8.211787663021225e-23,383.0944602061856,729.7100020481927,2.643640776975063e-20,True
BIN1,-0.731917693116785,9.324017496933873e-23,2108.5555391752578,3501.9845421686746,2.9227114319665214e-20,True
TRADD,-0.44058136392013053,9.252776988899294e-23,964.6862082474227,1309.2249578313254,2.9227114319665214e-20,True
APEX1,-0.5094482061793703,9.792626221175865e-23,1507.513456701031,2145.953903614458,3.029736811260683e-20,True
CD79B,-0.8119989720493646,9.944698963339248e-23,3335.833154639175,5856.529939759036,3.037340556456806e-20,True
NFATC2IP,-0.5529825516629573,1.0718108663432925e-22,2708.7307938144327,3974.021204819277,3.2321202872020575e-20,True
BCL11B,-0.8092672281303828,1.2098997392882329e-22,1544.1801402061856,2705.899565060241,3.6029301861329465e-20,True
ST6GAL1,-0.6298387537274048,1.7573203476072022e-22,2528.980082474227,3913.3236385542173,5.168474400129183e-20,True
IFFO2,-0.7922038848881423,1.9596549015947527e-22,196.0791724742268,339.55380180722887,5.693275453742901e-20,True
ACTR1B,-0.5035738800808498,2.051743665385763e-22,566.5865185567011,803.2617361445784,5.888998715721088e-20,True
C11orf75,0.9360372625012056,2.4923377036486517e-22,1884.9198865979383,985.1845746987951,7.068447751669266e-20,True
POLD2,-0.6565007100330877,2.653705800577654e-22,299.99973969072164,472.8760120481928,7.357203663415739e-20,True
GBP5,1.7992079109601773,2.6559187132340747e-22,8089.3331144329895,2324.326695180723,7.357203663415739e-20,True
LOC728453,-0.6175029910630241,2.7806902814281784e-22,3575.0000412371123,5484.827506024097,7.61429707752454e-20,True
IFI30,0.7956887090853332,3.2196333113018813e-22,6659.582948453609,3836.373337349398,8.716059588084627e-20,True
RHBDF2,0.6422475938500515,4.588738558758252e-22,4921.814907216494,3153.4756867469873,1.2282867268010993e-19,True
ZBTB4,-0.6503534892182103,4.641942542672706e-22,1520.3078505154635,2386.203322891566,1.2287221910454653e-19,True
MAP4K1,-0.7547856026583427,5.347540430456537e-22,2252.202508247423,3800.323301204819,1.399939073349078e-19,True
AKR1B1,-0.5647566599250493,5.611114184378054e-22,1821.020101030928,2693.54003253012,1.4529736218960693e-19,True
SETD1A,-0.5237415641057954,7.351260619599489e-22,447.8346865979381,643.8425120481928,1.8831084058141787e-19,True
VPREB3,-1.753842123499631,7.616979336450091e-22,244.05583085567008,823.0917996385542,1.9304180716196861e-19,True
LILRB4,1.0553517154677854,8.895041557585564e-22,498.83006948453607,240.02700301204823,2.2305955265932723e-19,True
MGC52498,-0.6799543718915079,9.161904639951586e-22,169.13219278350516,270.96484000000004,2.273583898307986e-19,True
GK,1.3746756196317853,1.0143485854117291e-21,2192.6650979381443,845.5780638554215,2.4780441242593676e-19,True
RPUSD2,-0.576130814256301,1.019385989075339e-21,542.6584247422682,809.0199036144578,2.4780441242593676e-19,True
TUBGCP6,-0.66282721008723,1.1386483856281394e-21,513.652043298969,813.2047228915662,2.7400020697797136e-19,True
GRAP,-0.7253295997282817,1.227165754449184e-21,1898.7065175257728,3139.090289156626,2.9234769768242912e-19,True
LTBP3,-0.9517956235286685,1.5025118386436676e-21,303.55905721649486,587.1677955421686,3.5439940130701083e-19,True
AIM2,1.979516276690332,1.5891968151990791e-21,1811.2921731958763,459.29819036144573,3.7117093851458493e-19,True
C16orf7,0.9839357186034905,1.6110040942556618e-21,1775.6974752577316,897.7901,3.726111702665304e-19,True
LAT,-0.6128663578341926,1.6897795062030504e-21,1832.8189886597938,2802.9201951807227,3.870732420795699e-19,True
ITGB7,-0.6633679201242582,1.7071570844370723e-21,2934.060731958763,4646.893734939759,3.873295545004226e-19,True
MTHFD2,1.4721828877250693,1.7837071293154072e-21,534.5039381443298,192.65474105421686,4.0087976360076366e-19,True
PLCG1,-0.7404013073458023,1.892991361176096e-21,1058.9667721649485,1769.1527650602413,4.214647962364312e-19,True
WDR59,-0.4899433819734924,1.9941613795879732e-21,750.5876835051547,1054.117656626506,4.358431793204064e-19,True
SYTL1,-0.595223147672798,1.9833373494124133e-21,647.9250463917526,978.8244072289158,4.358431793204064e-19,True
PPP1R16B,-0.6932973950540708,2.207019817513326e-21,576.290743298969,931.847738554217,4.779803010238178e-19,True
PRPF3,-0.3580506317727398,2.3592574696317323e-21,1775.4891855670103,2275.6318915662655,5.0221586546723935e-19,True
ATIC,-0.5410161827888642,2.3610870558842633e-21,1951.131429896907,2838.8903855421686,5.0221586546723935e-19,True
CARD16,1.5849582230750785,2.800940897061137e-21,576.982637113402,192.3281159638554,5.905027875282077e-19,True
TMC6,-0.5471455921726436,2.8505462525415085e-21,1741.5575989690722,2544.749734939759,5.905092467330118e-19,True
CNIH4,0.9432951827918584,2.837859952901376e-21,1936.6069257731958,1007.1202674698795,5.905092467330118e-19,True
ATG3,0.7216320738833496,2.8936951189741063e-21,2337.6861855670104,1417.598713253012,5.942801622355183e-19,True
