"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"ILMN_2403542",-0.119107112069551,6.4396535347552,-2.97151604419475,0.00335975948974165,0.0147793853887167,-2.72611093632212,"CATSPER2"
"ILMN_1773126",0.13293604325276,6.17903079675649,2.97129392923468,0.00336207752695143,0.0147881055556403,-2.7267389865693,"FANK1"
"ILMN_1709160",-0.125466143614785,6.4013564419248,-2.97125106689817,0.00336252501603687,0.0147885971926358,-2.72686017881885,"CXorf50"
"ILMN_2354285",-0.124449498514392,5.88940084768712,-2.97109893132739,0.00336411377522309,0.0147941076083011,-2.72729032576039,"GNRH2"
"ILMN_1719627",0.144174994488832,11.2172656505444,2.97102345283657,0.00336490225651642,0.0147960979538635,-2.72750372564523,"SLC27A3"
"ILMN_1787127",0.189967343781372,10.3847877738463,2.97076571266376,0.00336759600192261,0.0148064648648261,-2.72823239580284,"SLC43A2"
"ILMN_1777260",-0.174039938121314,6.1817136927629,-2.97072400895589,0.00336803205004134,0.0148069041752865,-2.72835029305217,"ATXN7L1"
"ILMN_2326737",-0.159516777526434,8.16119293720942,-2.97060111398411,0.0033693173240614,0.0148110764836073,-2.72869771095708,"PPIE"
"ILMN_1690282",0.113712918158161,8.54094777848945,2.97056061957315,0.00336974092587785,0.0148114605393979,-2.72881218376306,"CRADD"
"ILMN_3237863",-0.149852613874832,6.23340343635711,-2.97029411980894,0.00337252993249595,0.0148214592412218,-2.72956551105709,"LOC100134277"
"ILMN_1731134",0.111677932893231,6.53127498458567,2.97027896047955,0.0033726886434816,0.0148214592412218,-2.72960836079542,"LOC730686"
"ILMN_1794829",0.111739201491615,6.27495156744895,2.96930621571754,0.00338288716665748,0.0148647942721625,-2.73235753035343,"C6orf117"
"ILMN_2271568",0.162462207897832,4.9690673010062,2.969087932727,0.00338517959086578,0.0148733838177966,-2.73297432907533,"VCX3A"
"ILMN_3236736",-0.163201485737095,7.00918990387822,-2.96898544155683,0.00338625645263723,0.0148752021292666,-2.7332639225199,"ZFP92"
"ILMN_1680727",0.188183547037539,8.20168612673175,2.96897539298426,0.00338636204864315,0.0148752021292666,-2.73329231472849,"GLRX2"
"ILMN_1809034",0.12477955190774,6.92185051667879,2.96895213364413,0.00338660648235942,0.0148752021292666,-2.73335803358252,"GATC"
"ILMN_3301440",-0.231386549828011,11.0764528093198,-2.96883933444561,0.00338779212522878,0.0148789263119096,-2.73367673909331,"LOC730004"
"ILMN_1781795",0.175319492161735,9.93232890156432,2.96861976594735,0.00339010112287685,0.0148875829492422,-2.7342970815754,"ERH"
"ILMN_3246360",-0.147066072079244,14.8449177059592,-2.96856366277285,0.00339069133943341,0.0148886906093881,-2.73445558207064,"LOC100130553"
"ILMN_1725079",-0.0955191050051063,9.80629773909005,-2.96835475061904,0.00339288996647766,0.0148968599534842,-2.73504576860528,"TSPAN31"
"ILMN_2179778",-0.184299065683838,5.84935943360695,-2.96800060408972,0.00339662005438988,0.0149117510480296,-2.73604616285967,"PHLDB2"
"ILMN_1699249",-0.18084955601054,6.06295365839941,-2.96792916286071,0.00339737297320781,0.0149135701886176,-2.73624795713932,"ZNF649"
"ILMN_3253857",-0.13210452835073,5.97933373786719,-2.96698742292363,0.00340731229599781,0.01495571083609,-2.73890760183225,"LOC100127971"
"ILMN_2415898",0.202254224198555,9.04176911310932,2.96695524581069,0.0034076523711128,0.0149557133207024,-2.73899846230773,"DNAJB14"
"ILMN_1785175",-0.164453291593761,9.30172511691504,-2.96663829828196,0.00341100380744144,0.0149689309346088,-2.7398933985627,"SWAP70"
"ILMN_1815035",0.179376696845464,7.56671497022493,2.9661567036922,0.00341610203005771,0.0149897261972532,-2.74125306778139,"DENND2C"
"ILMN_3245672",-0.110110050971199,6.42017015149994,-2.96612640280905,0.00341642303285788,0.0149897261972532,-2.74133860850728,"SNORD84"
"ILMN_1726989",-0.135133741176064,8.73946823062341,-2.96585712319447,0.00341927695525675,0.0150007538249193,-2.74209876184934,"C1orf86"
"ILMN_1717868",-0.136555767916667,11.4729900003003,-2.96485935608237,0.00342987073461734,0.0150457315007596,-2.7449148269185,"CCT8"
"ILMN_1706238",-0.154838977186495,9.55669482296027,-2.96412419573594,0.00343769555395964,0.0150785548986833,-2.74698916880977,"CSE1L"
"ILMN_1705403",-0.269004529017705,6.85713265980897,-2.96391353897048,0.00343994073713232,0.0150869005785958,-2.74758347569789,"CYP2S1"
"ILMN_1683932",-0.120264337875151,6.84187323487596,-2.96352005572893,0.00344413809236508,0.0151038055855425,-2.74869347166631,"ZNF425"
"ILMN_1679543",0.113884563239396,6.74707324338407,2.96344279165323,0.00344496283373453,0.0151059185535377,-2.74891141392823,"KPTN"
"ILMN_3237165",0.139416716794348,6.63164199602534,2.96338232086291,0.00344560844464562,0.0151072457046963,-2.74908198301352,"LOC100128164"
"ILMN_1660222",-0.160401979120192,6.1724444024198,-2.96322044906604,0.00344733720064425,0.0151133211609852,-2.74953855690008,"MTBP"
"ILMN_1712583",-0.120106195390736,6.5747287657458,-2.963145606162,0.00344813677582021,0.0151153222322277,-2.74974965035106,"METRN"
"ILMN_1733305",0.278444166703505,8.13645716450344,2.96306461451016,0.00344900223212726,0.0151176116743719,-2.74997808081177,"EIF2A"
"ILMN_1654653",-0.101241267142862,7.98508948366423,-2.96294910412796,0.0034502368917276,0.015121518785941,-2.75030385877446,"KLC1"
"ILMN_1746673",-0.161854465552602,5.72681602760927,-2.96273002140693,0.00345257972253114,0.0151302814720672,-2.75092171373906,"Septin 3"
"ILMN_3239263",-0.173647634423491,7.37414181109452,-2.96261426335797,0.00345381820742347,0.0151342033079888,-2.75124815671398,"RPL23AP53"
"ILMN_1749297",-0.138532571060878,9.64320572500289,-2.96162333076459,0.00346443679895057,0.0151792227402597,-2.7540421578178,"ACTL6A"
"ILMN_1751656",-0.187711009058619,9.34453520109064,-2.96126237309779,0.00346831217031532,0.015194691140185,-2.75505969132402,"KLF11"
"ILMN_1690036",0.126980499769113,8.09574260725864,2.96047438998874,0.00347678606376466,0.0152303006060955,-2.75728061092736,"LOC554206"
"ILMN_1654987",0.0901120874344796,6.80157840780632,2.95997731936167,0.00348214127932044,0.0152522427657696,-2.75868132156002,"HCG2P7"
"ILMN_2148012",0.135936180667242,6.10714485866,2.95913941467454,0.00349118562145245,0.0152903378216944,-2.76104199541791,"EPR1"
"ILMN_1677532",-0.148900760639899,9.20670741163561,-2.95894407306837,0.00349329723406823,0.0152965535145437,-2.76159225455223,"TARDBP"
"ILMN_3236211",0.178856420831059,8.87334994701834,2.95894388013294,0.00349329932024948,0.0152965535145437,-2.76159279801706,"DGCR11"
"ILMN_3245306",-0.148929961905334,7.49457235586602,-2.95853847502766,0.00349768542908443,0.0153142372365171,-2.76273468112415,"FOXI3"
"ILMN_1703229",0.137459940416417,8.48612262628948,2.95782102897419,0.00350545991688145,0.0153467516198116,-2.76475512514864,"HIATL1"
"ILMN_1717855",-0.11185680245474,9.27578007665243,-2.95751635811062,0.00350876622627668,0.0153596999934129,-2.76561299288523,"PFDN1"
"ILMN_1791306",0.153869412843822,8.97240218515705,2.95720574063089,0.00351214001365002,0.0153729411507648,-2.76648752198463,"C9orf103"
"ILMN_2058512",0.238890093684677,7.50630361374831,2.95708749459246,0.00351342513081852,0.0153770382948521,-2.76682041628998,"PSMA2"
"ILMN_1689153",0.112576691718088,6.29242991181481,2.95691870765899,0.00351526028199758,0.0153835416930534,-2.76729557581737,"LOC644228"
"ILMN_3309544",-0.219448098157825,8.05286086066305,-2.95687674297283,0.00351571668330487,0.0153840106900033,-2.76741370862844,"MIR877"
"ILMN_1661985",-0.138914163365912,6.99247092942211,-2.95677758309644,0.00351679534646481,0.0153872022057133,-2.76769284287368,"LOC647890"
